Level1	Level	2013
L1-1:sexual_selection mate_choice male sexual_dimorphism effects sexual_size_dimorphism female growth sexual signals male_sterility poecilia_reticulata visual basal_metabolic_rate bird sexual_reproduction color divergent geographic_var	47.340023
L1-2:selection natural_selection natural_populations recombination models mutation 3 linkage_disequilibrium mutation_rate network pattern prey stickleback natural_variation reduction stickleback_gasterosteus_aculeatus_l test age approa	44.393692
L1-3:evolution fish dynamics north_america fishes hymenoptera niche marchine 1 bone habitat mechanisms trait 1_alpha north_american plants use differential general matrix mice cnidaria coleoptera crustacea dominance intron pacific tele	43.327185
L1-4:speciation adaptive_evolution adaptive_radiation divergence ecological_speciation species divergence_times islands ecological water adaptive_divergence lake threespine_stickleback during darwins_finches temperature introgression a	47.306246
L1-5:evolution size behavior trade_offs parental_care brain lepidoptera trade_off behaviour butterflies beetle butterfly classification larval maternal_effects response insects egg g_matrix song brain_size coloration egg_size eye g_pro	42.528655
L1-6:evolution complex human differentiation polymorphism human_genome reveals within shape structure balancing_selection 2 human_evolution ancient convergence reconstruction x_chromosome constraints communication systems frequency hum	45.527168
L1-7:positive_selection protein amino_acid_sites gene resistance gene_expression proteins gene_flow stress gene_duplication gene_family saccharomyces_cerevisiae functional_divergence functional cell cells mammalian expression stem_cell	55.408053
L1-8:maximum_likelihood dna_sequences dna mitochondrial_dna analysis mixed_models phylogeny data rate phylogenetics mitochondrial_genome using frogs site c dna_polymorphism mitochondrial_genomes deep_sea mtdna phylogenomics trees compa	54.258610
L1-9:variation phenotypic_plasticity dispersal climate_change evidence plant quantitative_trait_loci traits quantitative_genetics leaf rapid plasticity environments plants environmental biological invasive_species nervous_system phenot	44.928371
L1-10:life_history life_history_evolution birds reproductive sperm_competition reproductive_isolation competition hypothesis life_history_traits group non atlantic_salmon life mating_system reproductive_success mating_systems sperm beha	48.218006
L1-11:evolution genes origin expression development analysis domain rna rna_seq through alignment animal genetics rna_secondary_structure cavefish like expansion mimicry hox_genes method rna_interference structural tolerance avian zone 	44.474539
L1-12:body_size biogeography diversification phylogenetic_analysis mammals new phylogenetic_relationships fossil fossil_record radiation rule long_distance_dispersal homo phylogenetic new_world new_zealand phylogenetic_signal pleistocen	58.588076
L1-13:drosophila_melanogaster drosophila genome sequences evolution flowering_plants family parallel_evolution transposable_elements arabidopsis_thaliana chromosome history level genome_size asteraceae number insights polyploidy transcr	47.017268
L1-14:hybridization gene_expression molecular_evolution gene_flow gene concerted_evolution convergent_evolution molecular_phylogeny sequence insect molecular_clock genomes pollination molecular high historical_biogeography s sequence_al	47.325206
L1-15:phylogeny molecular_evolution multiple_sequence_alignment species genus molecular_phylogeny phylogenetic_analysis inference taxonomy bayesian_inference phylogeography chloroplast_dna tree systematics molecular phylogenetic_analyse	59.026363
L1-16:populations model local_adaptation system rates social inbreeding_depression sex kin_selection theory sex_ratio parasite virulence sex_determination major reproduction sex_chromosome pathogen sex_allocation sex_chromosomes daphnia	49.281124
L1-17:adaptation escherichia_coli experimental_evolution fitness beneficial_mutations between epistasis host coevolution antibiotic_resistance disease environment mutations virus antagonistic_coevolution deleterious_mutations maintenanc	46.585690
L1-18:evolution morphology diversification geometric_morphometrics early formation ecology primates morphological two characters anatomy east_africa surface morphological_evolution structure vertebrate diet african ancestral_character_s	50.651753
L1-19:patterns diversity horizontal_gene_transfer evolutionary cooperation evolutionary_history bacteria evolutionary_rate character_evolution mutualism bacterial character_displacement novemberel symbiosis extinction coexistence evolut	46.958959
L1-20:genetic_variation population_genetics genetic_diversity population population_structure genetic next_generation_sequencing effective_population_size multilocus_genotype_data l wild genetic_architecture genetic_structure polymorphi	48.855012
